Switch_Method,Switches_per_Subj_mean,Switches_per_Subj_SD,Model,Beta_Frequency_mean,Beta_Frequency_std,Beta_Semantic_mean,Beta_Semantic_std,Beta_Phonological_mean,Beta_Phonological_std
delta_rise=0.0_fall=0.0,10.945945945945946,3.198642273445806,forage_dynamic,6.831878972053702,3.8049718988234815,4.700709518603651,0.6066711021225157,,
delta_rise=0.0_fall=0.25,10.18918918918919,3.0180045717059616,forage_dynamic,6.810144172688767,3.795162389312931,4.6744502128038325,0.6153019189354917,,
delta_rise=0.0_fall=0.5,9.207207207207206,2.9289395341834914,forage_dynamic,6.777770493131342,3.7693288383271537,4.623623060424714,0.6185846741549912,,
delta_rise=0.0_fall=0.75,7.927927927927928,2.717019139390561,forage_dynamic,6.751166953019846,3.759262245269229,4.527452203655818,0.6392589511834077,,
delta_rise=0.0_fall=1.0,6.594594594594595,2.614506924310601,forage_dynamic,6.710012137198749,3.741392615353175,4.41373124281052,0.6699846822599979,,
delta_rise=0.25_fall=0.0,11.783783783783784,3.346116224982089,forage_dynamic,6.857785752464104,3.8157210582019765,4.83536801229747,0.5902376653150686,,
delta_rise=0.25_fall=0.25,11.0,3.1849873067477277,forage_dynamic,6.834680440967478,3.806342912430291,4.808898193275531,0.6015079377084769,,
delta_rise=0.25_fall=0.5,10.00900900900901,3.132208429936853,forage_dynamic,6.798613859991952,3.7797670007223845,4.747345887521602,0.6039013267680826,,
delta_rise=0.25_fall=0.75,8.675675675675675,2.9260007517631026,forage_dynamic,6.769969064537689,3.7657823940921418,4.631707343359795,0.6330801077614213,,
delta_rise=0.25_fall=1.0,7.153153153153153,2.800251591651027,forage_dynamic,6.723683773851844,3.746595894178409,4.48364897429849,0.6573791384244255,,
delta_rise=0.5_fall=0.0,12.927927927927929,3.6433617574578725,forage_dynamic,6.877782512158418,3.824616789821208,5.0093839926188375,0.6432991662327567,,
delta_rise=0.5_fall=0.25,12.225225225225225,3.471076590486206,forage_dynamic,6.856281356189075,3.8171091347154613,4.980798806319572,0.6476518805518656,,
delta_rise=0.5_fall=0.5,11.315315315315315,3.4744420304703274,forage_dynamic,6.82464832511902,3.7948373570222773,4.9259130536938365,0.6519481098388739,,
delta_rise=0.5_fall=0.75,9.972972972972974,3.3543288139450986,forage_dynamic,6.798805000221101,3.783535214858955,4.799855459485678,0.6439061066750572,,
delta_rise=0.5_fall=1.0,8.26126126126126,3.223538740704637,forage_dynamic,6.75077527228909,3.759820172932438,4.624523690199073,0.6252977126334728,,
delta_rise=0.75_fall=0.0,13.954954954954955,3.902845779447495,forage_dynamic,6.885583438270228,3.8246265588118966,5.115767186845759,0.6664619122354377,,
delta_rise=0.75_fall=0.25,13.306306306306306,3.738749592950705,forage_dynamic,6.862681172552498,3.816435233401771,5.082105695238225,0.6668650342827875,,
delta_rise=0.75_fall=0.5,12.432432432432432,3.8028477276942363,forage_dynamic,6.83221382325365,3.7955259292908394,5.027256949478058,0.6697701046260691,,
delta_rise=0.75_fall=0.75,11.08108108108108,3.8158869776053765,forage_dynamic,6.808992379151012,3.7869615077646652,4.8967043095626375,0.6664671428011522,,
delta_rise=0.75_fall=1.0,9.423423423423424,3.776526717228124,forage_dynamic,6.766069988494589,3.767798391027022,4.716466639141058,0.6389549958003308,,
delta_rise=1.0_fall=0.0,15.153153153153154,4.4401895061379975,forage_dynamic,6.902527572210229,3.8300203943688764,5.234338170789749,0.683277476525271,,
delta_rise=1.0_fall=0.25,14.684684684684685,4.37021446271528,forage_dynamic,6.887894017199005,3.823103600186166,5.217427904899763,0.6875720993566892,,
delta_rise=1.0_fall=0.5,13.891891891891891,4.432377499110262,forage_dynamic,6.856916001407925,3.802678282357455,5.163917845402203,0.6946255051906103,,
delta_rise=1.0_fall=0.75,12.72072072072072,4.5325075516524915,forage_dynamic,6.836204381663159,3.795173937452385,5.043417434149106,0.7028005712032548,,
delta_rise=1.0_fall=1.0,11.0990990990991,4.528100361307295,forage_dynamic,6.79168606840121,3.7765564910642113,4.858368864963914,0.6882856573926445,,
multimodal_alpha=0.0,1.6486486486486487,1.411973563853338,forage_dynamic,6.594952374788442,3.667964300386369,3.763038934144414,0.5958864216211306,,
multimodal_alpha=0.1,6.4774774774774775,2.138648419049645,forage_dynamic,6.709602656014106,3.7317865759175173,4.153194338096324,0.6178909825869029,,
multimodal_alpha=0.2,6.468468468468468,2.121616839764317,forage_dynamic,6.710047352526676,3.7317275357984374,4.160781038842197,0.6201867039594043,,
multimodal_alpha=0.30000000000000004,6.495495495495495,2.1555454311694673,forage_dynamic,6.712160628786289,3.73381274505394,4.195076109822415,0.6258873453219376,,
multimodal_alpha=0.4,6.4774774774774775,2.2293975546546076,forage_dynamic,6.691523735159246,3.7250947440133575,4.232108814109304,0.6368657470194713,,
multimodal_alpha=0.5,6.486486486486487,2.1886886314624703,forage_dynamic,6.68661534165091,3.725315228986424,4.2629515878314415,0.6377610593771483,,
multimodal_alpha=0.6000000000000001,6.594594594594595,2.2516395563016554,forage_dynamic,6.690415751775442,3.727967641555167,4.30351199244751,0.6483680003205398,,
multimodal_alpha=0.7000000000000001,6.5675675675675675,2.244599611646985,forage_dynamic,6.68504477653045,3.7290731025633876,4.338931043464327,0.6390024157219508,,
multimodal_alpha=0.8,6.558558558558558,2.42243524512858,forage_dynamic,6.676299882987834,3.724675578146666,4.351629660572705,0.6453404335029225,,
multimodal_alpha=0.9,6.531531531531532,2.389239465181072,forage_dynamic,6.6708081947241205,3.71835633218277,4.362630044242659,0.6418727117710405,,
multimodal_alpha=1.0,6.54054054054054,2.3587436867722604,forage_dynamic,6.670334793248151,3.7159981996298157,4.365726618180206,0.6368199973484314,,
norms_associative,11.09009009009009,3.5553526441572867,forage_dynamic,6.844645208164044,3.8114808634777138,4.6167044852770225,0.5387421001225426,,
norms_categorical,10.981981981981981,3.2187009353754914,forage_dynamic,6.863439994095213,3.8083233327018284,4.558399087927561,0.5049977512231636,,
simdrop,6.54054054054054,2.3587436867722604,forage_dynamic,6.670334565625475,3.7159984472363705,4.365726764141301,0.6368200994119889,,
